df_hash,22ZHK4.GBZGPG
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8F48
person_label,V13
date_time_start,2025-05-22_11-00-48.415000_+03
date_time_start_unix,1747900848.415
date_time_end,2025-05-22_11-08-33.854000_+03
length_difference_noticed,no

time,temperature
5.222,36.750
6.197,36.750
7.221,36.750
8.248,36.719
9.220,36.719
10.244,36.656
11.219,36.656
12.242,36.656
13.217,36.688
14.241,36.750
15.216,36.812
16.239,36.875
17.216,36.875
18.269,36.938
19.218,36.969
20.237,37.062
21.215,37.062
22.236,37.031
23.211,36.969
24.235,36.906
25.259,36.875
26.234,36.875
27.210,36.875
28.232,36.844
29.353,36.781
30.231,36.812
31.221,36.781
32.230,36.844
33.204,36.875
34.229,36.906
35.204,36.906
36.232,36.906
37.202,36.875
38.226,36.875
39.201,36.875
40.225,36.875
41.200,36.906
42.229,36.906
43.199,36.875
44.271,36.844
45.197,36.844
46.222,36.844
47.391,36.875
48.220,36.844
49.195,36.844
50.219,36.844
51.198,36.844
52.217,36.844
53.196,36.844
54.247,36.844
55.242,36.875
56.218,36.875
57.239,36.875
58.214,36.875
59.237,36.906
60.213,36.938
61.236,36.844
62.211,36.844
63.235,36.844
64.210,36.875
65.234,36.969
66.209,36.938
67.233,36.906
68.208,36.938
69.231,36.906
70.206,36.906
71.245,37.031
72.231,37.031
73.229,37.031
74.204,37.031
75.228,36.906
76.203,36.875
77.226,36.938
78.201,36.906
79.226,36.906
80.251,36.906
81.224,36.906
82.199,36.844
83.222,36.844
84.198,36.875
85.224,36.875
86.442,36.875
87.220,36.812
88.195,36.812
89.219,36.844
90.538,36.875
91.218,36.875
92.295,36.875
93.216,36.875
94.191,36.875
95.249,36.875
96.239,36.906
97.215,36.938
98.242,36.844
99.212,36.844
100.188,36.875
101.212,36.875
102.190,36.875
103.211,36.875
104.185,36.875
105.307,36.906
106.233,36.844
107.208,36.875
108.231,36.938
109.206,36.938
110.230,36.938
111.208,36.906
112.259,36.906
113.209,36.938
114.228,36.938
115.203,36.906
116.248,37.062
117.225,37.031
118.225,37.062
119.200,37.000
120.480,37.000
121.199,37.031
122.223,37.031
123.198,37.031
124.266,36.969
125.197,37.000
126.220,36.938
127.195,36.906
128.219,36.875
129.197,36.906
130.218,36.906
131.193,36.875
132.217,36.875
133.191,36.844
134.215,36.875
135.295,36.906
136.214,36.844
137.189,36.875
138.258,36.906
139.431,36.875
140.212,36.875
141.187,36.875
142.211,36.844
143.185,36.844
144.215,36.812
145.184,36.781
146.209,36.812
147.210,36.656
148.207,36.656
149.282,36.688
150.230,36.719
151.180,36.750
152.204,36.781
153.227,36.781
154.349,36.812
155.226,36.812
156.233,36.812
157.225,36.938
158.495,36.938
159.224,37.000
160.199,36.969
161.227,37.000
162.198,37.000
163.221,36.969
164.202,36.969
165.221,37.031
166.205,37.062
167.243,37.031
168.194,37.031
169.518,37.000
170.193,37.031
171.217,37.031
172.192,37.000
173.364,37.000
174.191,37.000
175.214,36.938
176.189,36.938
177.234,36.969
178.340,37.000
179.212,36.969
180.287,36.938
181.211,36.906
182.186,36.938
183.504,36.969
184.184,36.969
185.208,36.969
186.247,36.969
187.216,36.969
188.187,36.969
189.209,36.938
190.198,36.969
191.255,36.969
192.187,36.969
193.203,36.969
194.570,36.969
195.205,36.969
196.230,37.000
197.201,36.969
198.470,36.969
199.201,37.000
200.175,36.969
201.198,36.969
202.221,36.938
203.246,36.938
204.222,36.938
205.393,36.906
206.223,36.906
207.343,36.875
208.218,36.844
209.193,36.781
210.217,36.781
211.192,36.812
212.216,36.812
213.216,36.812
214.214,36.844
215.200,36.844
216.421,36.844
217.532,36.844
218.212,36.906
219.187,36.906
220.211,36.906
221.185,36.906
222.220,36.938
223.185,36.938
224.236,36.969
225.183,36.969
226.207,36.969
227.182,37.000
228.206,37.000
229.181,37.000
230.205,37.031
231.180,37.031
232.544,36.969
233.179,36.969
234.203,36.969
235.177,37.000
236.200,37.031
237.176,37.000
238.200,36.969
239.179,37.000
240.198,36.969
241.173,37.000
242.219,37.000
243.293,37.000
244.196,37.031
245.230,37.000
246.194,36.969
247.321,37.000
248.193,37.000
249.168,37.000
250.199,37.000
251.215,37.000
252.340,37.000
253.215,36.969
254.276,36.938
255.265,36.969
256.188,36.969
257.216,37.031
258.240,37.031
259.260,37.000
260.185,37.031
261.210,37.031
262.209,37.031
263.208,37.156
264.183,37.156
265.207,37.156
266.426,37.125
267.209,37.062
268.181,37.094
269.205,37.125
270.180,37.125
271.203,37.094
272.179,37.094
273.221,37.031
274.228,37.031
275.201,36.969
276.273,36.969
277.204,37.000
278.175,37.000
279.199,36.938
280.174,36.938
281.197,36.969
282.175,36.938
283.196,36.938
284.171,36.969
285.194,37.000
286.181,37.031
287.194,37.062
288.270,37.031
289.192,37.062
290.167,37.125
291.437,37.125
292.166,37.156
293.190,37.125
294.460,37.125
295.195,37.094
296.164,37.062
297.188,37.031
298.163,37.031
299.237,37.062
300.212,37.000
301.190,37.000
302.549,36.906
303.184,36.906
304.208,36.875
305.182,36.875
306.209,36.938
307.181,36.938
308.208,36.969
309.180,36.969
310.203,36.969
311.182,37.000
312.203,37.094
313.372,37.094
314.206,37.125
315.227,37.156
316.214,37.188
317.179,37.219
318.198,37.156
319.176,37.156
320.200,37.156
321.172,37.156
322.196,37.125
323.209,37.125
324.195,37.125
325.171,37.094
326.194,37.031
327.189,37.031
328.193,37.062
329.177,37.062
330.191,37.094
331.561,37.125
332.190,37.125
333.165,37.125
334.189,37.094
335.164,37.125
336.188,37.125
337.163,37.125
338.248,37.125
339.210,37.125
340.234,37.125
341.213,37.094
342.301,37.094
343.159,37.094
344.227,37.094
345.158,37.094
346.279,37.094
347.156,37.094
348.180,37.125
349.253,37.094
350.178,37.125
351.351,37.094
352.178,37.094
353.201,37.094
354.176,37.125
355.200,37.125
356.347,37.125
357.199,37.125
358.174,37.094
359.241,37.125
360.172,37.125
361.198,37.156
362.176,37.188
363.195,37.188
364.229,37.188
365.242,37.188
366.169,37.188
367.330,37.188
368.168,37.219
369.192,37.219
370.166,37.250
371.482,37.250
372.165,37.188
373.189,37.188
374.456,37.188
375.199,37.156
376.215,37.156
377.187,37.125
378.162,37.125
379.185,37.125
380.160,37.125
381.184,37.094
382.159,37.125
383.183,37.062
384.158,37.094
385.182,37.062
386.354,37.094
387.180,37.062
388.209,37.062
389.179,37.062
390.154,37.062
391.178,37.094
392.157,37.094
393.176,37.125
394.152,37.125
395.175,37.125
396.445,37.125
397.174,37.125
398.198,37.125
399.213,37.125
400.197,37.219
401.172,37.219
402.196,37.219
403.170,37.250
404.195,37.250
405.172,37.219
406.193,37.250
407.363,37.188
408.202,37.250
409.167,37.250
410.442,37.125
411.189,37.125
412.189,37.094
413.164,37.094
414.188,37.062
415.186,37.125
416.192,37.125
417.162,37.125
418.481,37.094
419.209,37.094
420.184,37.125
421.411,37.125
422.183,37.094
423.159,37.094
424.181,37.125
425.157,37.031
426.180,37.062
427.255,37.062
428.182,37.094
429.154,37.094
430.182,37.062
431.158,37.031
432.374,37.094
433.152,37.094
434.176,37.062
435.155,37.125
436.175,37.094
437.149,37.094
438.173,37.094
439.148,37.125
440.197,37.094
441.147,37.125
442.183,37.125
443.270,37.156
444.169,37.125
445.193,37.125
446.168,37.156
447.192,37.188
448.167,37.125
449.191,37.125
450.166,37.125
451.190,37.062
452.164,37.031
453.188,37.062
454.174,37.031
455.187,37.125
456.162,37.125
457.189,37.094
458.161,37.094
459.184,37.094
460.160,37.125
